,original_idx,db_id,query,question,HAVING,ORDER BY,GROUP BY,JOIN,SELECT,WHERE,query_token_num,question_token_num
0,11,department_management,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,How many departments are led by heads who are not mentioned?,0,0,0,0,2,1,12,11
1,13,department_management,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,0,0,0,4,2,2,54,18
2,14,department_management,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","Which department has more than 1 head at a time? List the id, name and the number of heads.",1,0,1,1,1,0,23,19
3,36,farm,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",Show the official names of the cities that have hosted more than one competition.,1,0,1,1,1,0,22,14
4,37,farm,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",What are the official names of cities that have hosted more than one competition?,1,0,1,1,1,0,22,14
5,81,student_assessment,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;",How many registed students do each course have? List course name and the number of their registered students?,0,0,1,2,1,0,26,18
6,82,student_assessment,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","For each course id, how many students are registered and what are the course names?",0,0,1,2,1,0,26,15
7,285,twitter_1,SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 GROUP BY T1.name  HAVING count(*)  >  (SELECT count(*) FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 WHERE T1.name  =  'Tyler Swift'),"Find the names of the users whose number of followers is greater than that of the user named ""Tyler Swift"".",1,0,1,2,2,1,39,20
8,429,flight_1,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',Show names for all employees who do not have certificate of Boeing 737-800.,0,0,0,2,2,1,32,13
9,430,flight_1,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',What are the names of all employees who are not certified to fly Boeing 737-800s?,0,0,0,2,2,1,32,15
