,true_SQL,qSQL,true_SQL_result,qSQL_result
0,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,SELECT COUNT(*)  FROM departments  WHERE head NOT IN (SELECT name FROM employees),[[11]],[['Error']]
1,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',SELECT state FROM cabinet_members WHERE department = 'Treasury' AND secretary_born = true INTERSECT SELECT state FROM cabinet_members WHERE department = 'Homeland Security' AND secretary_born = true;,[['California']],[['Error']]
2,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","SELECT department.id, department.name, COUNT(employee.id) AS number_of_heads FROM department JOIN employee ON department.id = employee.department_id GROUP BY department.id, department.name HAVING COUNT(employee.id) > 1;",[[2 'Treasury' 2]],[['Error']]
3,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",SELECT official_name FROM cities GROUP BY official_name HAVING COUNT(*) > 1;,[['Aroostook']],[['Error']]
4,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",SELECT official_name FROM cities GROUP BY official_name HAVING COUNT(*) > 1;,[['Aroostook']],[['Error']]
5,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),SELECT official_name FROM cities WHERE city_id NOT IN (SELECT city_id FROM competitions),[],[['Error']]
6,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),SELECT official_name FROM cities WHERE city_id NOT IN (SELECT city_id FROM competitions WHERE competition_type = 'farm'),[],[['Error']]
7,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","SELECT course.name, COUNT(student.id) AS num_registered_students FROM course JOIN enrollment ON course.id = enrollment.course_id JOIN student ON enrollment.student_id = student.id GROUP BY course.name;","[['statistics' 4]
 ['French' 2]
 ['data structure' 1]
 ['English' 2]]",[['Error']]
8,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","SELECT course_id, COUNT(student_id) AS num_students, course_name FROM courses JOIN registrations ON courses.course_id = registrations.course_id GROUP BY course_id, course_name;","[['statistics' 4]
 ['French' 2]
 ['data structure' 1]
 ['English' 2]]",[['Error']]
9,"SELECT T1.name, T1.id FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id GROUP BY T1.id HAVING avg(T2.bikes_available) > 14 UNION SELECT name , id FROM station WHERE installation_date LIKE '12/%'","SELECT name, id FROM stations WHERE (SELECT AVG(available_bikes) FROM bikes WHERE bikes.station_id = stations.id) > 14 OR EXTRACT(MONTH FROM installation_date) = 12;",[],[['Error']]
10,"SELECT T1.name, T1.id FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id GROUP BY T1.id HAVING avg(T2.bikes_available) > 14 UNION SELECT name , id FROM station WHERE installation_date LIKE '12/%'","SELECT name, id FROM stations WHERE (SELECT AVG(available_bikes) FROM bikes WHERE bikes.station_id = stations.id) > 14 OR EXTRACT(MONTH FROM installation_date) = 12;",[],[['Error']]
11,"SELECT T1.name 
FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id 
GROUP BY T1.name  
HAVING avg(bikes_available)  >  10 
EXCEPT SELECT name FROM station WHERE city  =  'San Jose'",SELECT name  FROM stations  WHERE average_bike_availability > 10  AND city != 'San Jose';,[],[['Error']]
12,"SELECT T1.name 
FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id 
GROUP BY T1.name  
HAVING avg(bikes_available)  >  10 
EXCEPT SELECT name FROM station WHERE city  =  'San Jose'",SELECT name FROM stations WHERE bikes_available > 10 AND location <> 'San Jose';,[],[['Error']]
13,SELECT zip_code FROM weather GROUP BY zip_code HAVING avg(mean_humidity)  <  70 INTERSECT SELECT zip_code FROM trip GROUP BY zip_code HAVING count(*)  >=  100,SELECT zip_code FROM trips GROUP BY zip_code HAVING AVG(mean_humidity) < 70 AND COUNT(*) >= 100;,[],[['Error']]
14,SELECT zip_code FROM weather GROUP BY zip_code HAVING avg(mean_humidity)  <  70 INTERSECT SELECT zip_code FROM trip GROUP BY zip_code HAVING count(*)  >=  100,SELECT zip_code FROM trips GROUP BY zip_code HAVING AVG(mean_humidity) < 70 AND COUNT(*) >= 100;,[],[['Error']]
15,SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 GROUP BY T1.name  HAVING count(*)  >  (SELECT count(*) FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 WHERE T1.name  =  'Tyler Swift'),SELECT name FROM users WHERE followers > (SELECT followers FROM users WHERE name = 'Tyler Swift');,[['Iron Man']],[['Error']]
16,SELECT T2.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f2 WHERE T1.name  =  'Mary' INTERSECT SELECT T2.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f2 WHERE T1.name  =  'Susan',SELECT id FROM users WHERE id IN (     SELECT followed_id     FROM follows     WHERE follower_id IN (         SELECT id         FROM users         WHERE name = 'Mary' OR name = 'Susan'     )     GROUP BY followed_id     HAVING COUNT(DISTINCT follower_id) = 2 ),[],[['Error']]
17,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',SELECT name FROM employees WHERE employee_id NOT IN (     SELECT employee_id     FROM certificates     WHERE certificate_name = 'Boeing 737-800' ),"[['Joseph Thompson']
 ['Karen Scott']
 ['Angela Martinez']
 ['Jennifer Thomas']
 ['Patricia Jones']
 ['Eric Cooper']
 ['Linda Davis']
 ['Chad Stewart']
 ['Robert Brown']
 ['William Moore']
 ['Haywood Kelly']
 ['Richard Jackson']
 ['Donald King']
 ['William Jones']
 ['William Ward']
 ['Michael Miller']
 ['Lawrence Sperry']
 ['David Anderson']
 ['Elizabeth Taylor']
 ['Barbara Wilson']
 ['Milo Brooks']
 ['Dorthy Lewis']]",[['Error']]
