,true_SQL,qSQL,true_SQL_result,qSQL_result,equality
0,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,SELECT COUNT(*)  FROM departments  WHERE head_id IS NOT IN (SELECT id FROM heads);,[[11]],[['Error']],FALSE
1,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',"SELECT Treasury.state_of_birth, Homeland_Security.state_of_birth FROM  (SELECT state_of_birth FROM Secretary WHERE department = 'Treasury') AS Treasury, (SELECT state_of_birth FROM Secretary WHERE department = 'Homeland Security') AS Homeland_Security WHERE Treasury.state_of_birth = Homeland_Security.state_of_birth;",[['California']],[['Error']],FALSE
2,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","SELECT department_id AS id, department_name AS name, COUNT(department_head) AS number_of_heads FROM departments GROUP BY department_id, department_name HAVING COUNT(department_head) > 1;","[[2, 'Treasury', 2]]",[['Error']],FALSE
3,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",SELECT official_name  FROM cities  WHERE city_id IN (     SELECT city_id      FROM competitions      GROUP BY city_id      HAVING COUNT(*) > 1 );,[['Aroostook']],[['Error']],FALSE
4,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",SELECT official_name  FROM cities  WHERE city_id IN (     SELECT city_id      FROM competitions      GROUP BY city_id      HAVING COUNT(*) > 1 );,[['Aroostook']],[['Error']],FALSE
5,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","SELECT course_name, COUNT(student_id) as registered_students FROM courses JOIN registrations ON courses.course_id = registrations.course_id GROUP BY course_name;","[['statistics', 4], ['French', 2], ['data structure', 1], ['English', 2]]",[['Error']],FALSE
6,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","SELECT course_id, COUNT(student_id) AS number_of_students, course_name  FROM course_registration  INNER JOIN courses ON course_registration.course_id = courses.id  GROUP BY course_id, course_name;","[['statistics', 4], ['French', 2], ['data structure', 1], ['English', 2]]",[['Error']],FALSE
7,SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 GROUP BY T1.name  HAVING count(*)  >  (SELECT count(*) FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 WHERE T1.name  =  'Tyler Swift'),SELECT name  FROM users  WHERE followers > (SELECT followers FROM users WHERE name = 'Tyler Swift');,[['Iron Man']],[['Error']],FALSE
8,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',SELECT name  FROM employees  WHERE id NOT IN (     SELECT employee_id      FROM certificates      WHERE certificate_name = 'Boeing 737-800' );,"[['Joseph Thompson'], ['Karen Scott'], ['Angela Martinez'], ['Jennifer Thomas'], ['Patricia Jones'], ['Eric Cooper'], ['Linda Davis'], ['Chad Stewart'], ['Robert Brown'], ['William Moore'], ['Haywood Kelly'], ['Richard Jackson'], ['Donald King'], ['William Jones'], ['William Ward'], ['Michael Miller'], ['Lawrence Sperry'], ['David Anderson'], ['Elizabeth Taylor'], ['Barbara Wilson'], ['Milo Brooks'], ['Dorthy Lewis']]",[['Error']],FALSE
9,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',SELECT name  FROM employees  WHERE id NOT IN (     SELECT employee_id      FROM certifications      WHERE aircraft_model = 'Boeing 737-800' );,"[['Joseph Thompson'], ['Karen Scott'], ['Angela Martinez'], ['Jennifer Thomas'], ['Patricia Jones'], ['Eric Cooper'], ['Linda Davis'], ['Chad Stewart'], ['Robert Brown'], ['William Moore'], ['Haywood Kelly'], ['Richard Jackson'], ['Donald King'], ['William Jones'], ['William Ward'], ['Michael Miller'], ['Lawrence Sperry'], ['David Anderson'], ['Elizabeth Taylor'], ['Barbara Wilson'], ['Milo Brooks'], ['Dorthy Lewis']]",[['Error']],FALSE
