,true_SQL,qSQL,true_SQL_result,qSQL_result,equality
0,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,SELECT COUNT(*)  FROM department  WHERE Department_ID NOT IN (SELECT Department_ID FROM management);,[[11]],[[11]],TRUE
1,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',SELECT h1.born_state FROM head h1 JOIN management m1 ON h1.head_ID = m1.head_ID JOIN department d1 ON m1.Department_ID = d1.Department_ID WHERE d1.Name = 'Treasury' INTERSECT SELECT h2.born_state FROM head h2 JOIN management m2 ON h2.head_ID = m2.head_ID JOIN department d2 ON m2.Department_ID = d2.Department_ID WHERE d2.Name = 'Homeland Security';,[['California']],[['California']],TRUE
2,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","SELECT department.Department_ID, department.Name, COUNT(management.head_ID) as Number_of_Heads FROM department JOIN management ON department.Department_ID = management.Department_ID GROUP BY department.Department_ID, department.Name HAVING COUNT(management.head_ID) > 1;","[[2, 'Treasury', 2]]","[[2, 'Treasury', 2]]",TRUE
3,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",SELECT Official_Name FROM city WHERE City_ID IN (     SELECT Host_city_ID     FROM farm_competition     GROUP BY Host_city_ID     HAVING COUNT(Competition_ID) > 1 );,[['Aroostook']],[['Aroostook']],TRUE
4,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",SELECT Official_Name FROM city WHERE City_ID IN (     SELECT Host_city_ID     FROM farm_competition     GROUP BY Host_city_ID     HAVING COUNT(Competition_ID) > 1 );,[['Aroostook']],[['Aroostook']],TRUE
5,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","SELECT Courses.course_name, COUNT(Student_Course_Registrations.student_id) AS number_of_students FROM Courses LEFT JOIN Student_Course_Registrations ON Courses.course_id = Student_Course_Registrations.course_id GROUP BY Courses.course_name;","[['statistics', 4], ['French', 2], ['data structure', 1], ['English', 2]]","[['Art history', 0], ['statistics', 4], ['French', 2], ['data structure', 1], ['English', 2], ['database', 0]]",FALSE
6,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","SELECT      Courses.course_id,      Courses.course_name,      COUNT(Student_Course_Registrations.student_id) AS student_count FROM      Courses  LEFT JOIN      Student_Course_Registrations  ON      Courses.course_id = Student_Course_Registrations.course_id GROUP BY      Courses.course_id,      Courses.course_name;","[['statistics', 4], ['French', 2], ['data structure', 1], ['English', 2]]","[['301', 'statistics', 4], ['303', 'French', 2], ['302', 'English', 2], ['305', 'data structure', 1], ['304', 'database', 0], ['306', 'Art history', 0]]",FALSE
7,SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 GROUP BY T1.name  HAVING count(*)  >  (SELECT count(*) FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 WHERE T1.name  =  'Tyler Swift'),SELECT name  FROM user_profiles  WHERE followers > (     SELECT followers      FROM user_profiles      WHERE name = 'Tyler Swift' );,[['Iron Man']],[['None']],FALSE
8,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',SELECT name  FROM employee  WHERE eid NOT IN (     SELECT eid      FROM certificate      WHERE aid IN (         SELECT aid          FROM aircraft          WHERE name = 'Boeing 737-800'     ) );,"[['Joseph Thompson'], ['Karen Scott'], ['Angela Martinez'], ['Jennifer Thomas'], ['Patricia Jones'], ['Eric Cooper'], ['Linda Davis'], ['Chad Stewart'], ['Robert Brown'], ['William Moore'], ['Haywood Kelly'], ['Richard Jackson'], ['Donald King'], ['William Jones'], ['William Ward'], ['Michael Miller'], ['Lawrence Sperry'], ['David Anderson'], ['Elizabeth Taylor'], ['Barbara Wilson'], ['Milo Brooks'], ['Dorthy Lewis']]","[['Karen Scott'], ['Lawrence Sperry'], ['Michael Miller'], ['Patricia Jones'], ['Robert Brown'], ['Angela Martinez'], ['Joseph Thompson'], ['Linda Davis'], ['Richard Jackson'], ['William Ward'], ['Chad Stewart'], ['Michael Miller'], ['Dorthy Lewis'], ['Barbara Wilson'], ['William Moore'], ['Haywood Kelly'], ['Elizabeth Taylor'], ['David Anderson'], ['Jennifer Thomas'], ['Donald King'], ['Eric Cooper'], ['William Jones'], ['Milo Brooks']]",FALSE
9,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',SELECT name  FROM employee  WHERE eid NOT IN (     SELECT eid      FROM certificate      WHERE aid IN (         SELECT aid          FROM aircraft          WHERE name = 'Boeing 737-800'     ) );,"[['Joseph Thompson'], ['Karen Scott'], ['Angela Martinez'], ['Jennifer Thomas'], ['Patricia Jones'], ['Eric Cooper'], ['Linda Davis'], ['Chad Stewart'], ['Robert Brown'], ['William Moore'], ['Haywood Kelly'], ['Richard Jackson'], ['Donald King'], ['William Jones'], ['William Ward'], ['Michael Miller'], ['Lawrence Sperry'], ['David Anderson'], ['Elizabeth Taylor'], ['Barbara Wilson'], ['Milo Brooks'], ['Dorthy Lewis']]","[['Karen Scott'], ['Lawrence Sperry'], ['Michael Miller'], ['Patricia Jones'], ['Robert Brown'], ['Angela Martinez'], ['Joseph Thompson'], ['Linda Davis'], ['Richard Jackson'], ['William Ward'], ['Chad Stewart'], ['Michael Miller'], ['Dorthy Lewis'], ['Barbara Wilson'], ['William Moore'], ['Haywood Kelly'], ['Elizabeth Taylor'], ['David Anderson'], ['Jennifer Thomas'], ['Donald King'], ['Eric Cooper'], ['William Jones'], ['Milo Brooks']]",FALSE
10,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,"SELECT e.name, e.salary FROM employee e JOIN certificate c ON e.eid = c.eid JOIN aircraft a ON c.aid = a.aid WHERE a.distance > 5000 GROUP BY e.eid, e.name, e.salary ORDER BY COUNT(*) DESC LIMIT 1;",[['Lisa Walker']],"[['Lisa Walker', Decimal('256481.00')]]",FALSE
11,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,"SELECT e.name, e.salary FROM employee e WHERE e.eid = (     SELECT c.eid     FROM certificate c     JOIN aircraft a ON c.aid = a.aid     WHERE a.distance > 5000     GROUP BY c.eid     ORDER BY COUNT(*) DESC     LIMIT 1 );",[['Lisa Walker']],"[['Lisa Walker', Decimal('256481.00')]]",FALSE
12,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT Student.LName, Student.Age FROM Student JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID WHERE Has_Allergy.Allergy IN ('milk', 'cat') GROUP BY Student.StuID HAVING COUNT(DISTINCT Has_Allergy.Allergy) = 2;","[['Apap', 18], ['Lee', 17]]",[['None']],FALSE
13,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT Student.LName, Student.Age FROM Student JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID WHERE Has_Allergy.Allergy IN ('milk', 'cat');","[['Apap', 18], ['Lee', 17]]",[['None']],FALSE
14,"SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT Student.Fname, Student.Sex FROM Student JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID WHERE Has_Allergy.Allergy = 'milk' AND Student.StuID NOT IN (     SELECT Has_Allergy.StuID     FROM Has_Allergy     WHERE Has_Allergy.Allergy = 'cat' );","[['Mark', 'M']]",[['None']],FALSE
15,"SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')",The question does not provide enough information to create a SQL query. The schema does not contain information about what allergies a student can tolerate.,"[['Mark', 'M']]",[['Error']],FALSE
16,SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'food' INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'animal'),"SELECT AVG(Student.Age)  FROM Student  JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID  JOIN Allergy_Type ON Has_Allergy.Allergy = Allergy_Type.Allergy  WHERE Allergy_Type.AllergyType IN ('food', 'animal');",[[Decimal('18.3333333333333333')]],[[Decimal('18.3611111111111111')]],FALSE
17,SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'food' INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'animal'),"SELECT AVG(Student.Age)  FROM Student  JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID  JOIN Allergy_Type ON Has_Allergy.Allergy = Allergy_Type.Allergy  WHERE Allergy_Type.AllergyType IN ('food', 'animal');",[[Decimal('18.3333333333333333')]],[[Decimal('18.3611111111111111')]],FALSE
18,SELECT DISTINCT t3.policy_type_code FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id JOIN available_policies AS t3 ON t2.policy_id  =  t3.policy_id WHERE t1.customer_name  =  (SELECT t1.customer_name FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id GROUP BY t1.customer_name ORDER BY count(*) DESC LIMIT 1),SELECT ap.policy_type_code FROM Available_Policies ap JOIN Customers_Policies cp ON ap.Policy_ID = cp.Policy_ID WHERE cp.Customer_ID = (     SELECT Customer_ID     FROM Customers_Policies     GROUP BY Customer_ID     ORDER BY COUNT(Policy_ID) DESC     LIMIT 1 );,"[['Mortgage Insurance            '], ['Property Insurance            ']]","[['Mortgage Insurance            '], ['Mortgage Insurance            '], ['Property Insurance            ']]",FALSE
19,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'","SELECT m.name, m.Trade_Name FROM medicine m WHERE m.id NOT IN (     SELECT mei.medicine_id     FROM medicine_enzyme_interaction mei     JOIN enzyme e ON mei.enzyme_id = e.id     WHERE e.Product = 'Heme' );","[['Aripiprazole', 'Abilify'], ['Olanzapine', 'Zyprexa'], ['Clozapine', 'Clozaril'], ['Remoxipride', 'Roxiam'], ['Blonanserin', 'Lonasen'], ['Asenapine', 'Saphris'], ['Lurasidone', 'Latuda'], ['Carpipramine', 'Prazinil'], ['Perospirone', 'Lullan'], ['Iloperidone', 'Fanapt'], ['Paliperidone', 'Invega'], ['Sertindole', 'Serdolect'], ['Melperone', 'Buronil'], ['Sulpiride', 'Sulpirid'], ['Risperidone', 'Risperdal'], ['Amisulpride', 'Solian'], ['Zotepine', 'Nipolept'], ['Clocapramine', 'Clofekton'], ['Mosapramine', 'Cremin'], ['Quetiapine', 'Seroquel']]","[['Amisulpride', 'Solian'], ['Aripiprazole', 'Abilify'], ['Asenapine', 'Saphris'], ['Blonanserin', 'Lonasen'], ['Carpipramine', 'Prazinil'], ['Clocapramine', 'Clofekton'], ['Clozapine', 'Clozaril'], ['Iloperidone', 'Fanapt'], ['Lurasidone', 'Latuda'], ['Melperone', 'Buronil'], ['Mosapramine', 'Cremin'], ['Olanzapine', 'Zyprexa'], ['Paliperidone', 'Invega'], ['Perospirone', 'Lullan'], ['Quetiapine', 'Seroquel'], ['Remoxipride', 'Roxiam'], ['Risperidone', 'Risperdal'], ['Sertindole', 'Serdolect'], ['Sulpiride', 'Sulpirid'], ['Ziprasidone', 'Geodon'], ['Zotepine', 'Nipolept']]",FALSE
