,qNL,true_SQL,qSQL,true_SQL_result,qSQL_result,equality
0,How many departments are led by heads who are not mentioned?,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,SELECT COUNT(*)  FROM department  WHERE Department_ID NOT IN (SELECT Department_ID FROM management);,[[11]],[[11]],TRUE
1,List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',SELECT h1.born_state FROM department d1 JOIN management m1 ON d1.Department_ID = m1.Department_ID JOIN head h1 ON m1.head_ID = h1.head_ID WHERE d1.Name = 'Treasury' INTERSECT SELECT h2.born_state FROM department d2 JOIN management m2 ON d2.Department_ID = m2.Department_ID JOIN head h2 ON m2.head_ID = h2.head_ID WHERE d2.Name = 'Homeland Security';,[['California']],[['California']],TRUE
2,"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","SELECT department.Department_ID, department.Name, COUNT(management.head_ID) as Number_of_Heads FROM department JOIN management ON department.Department_ID = management.Department_ID GROUP BY department.Department_ID, department.Name HAVING COUNT(management.head_ID) > 1;","[[2, 'Treasury', 2]]","[[2, 'Treasury', 2]]",TRUE
3,Show the official names of the cities that have hosted more than one competition.,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",SELECT Official_Name FROM city WHERE City_ID IN (     SELECT Host_city_ID     FROM farm_competition     GROUP BY Host_city_ID     HAVING COUNT(Competition_ID) > 1 );,[['Aroostook']],[['Aroostook']],TRUE
4,What are the official names of cities that have hosted more than one competition?,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",SELECT Official_Name FROM city WHERE City_ID IN (     SELECT Host_city_ID     FROM farm_competition     GROUP BY Host_city_ID     HAVING COUNT(Competition_ID) > 1 );,[['Aroostook']],[['Aroostook']],TRUE
5,How many registed students do each course have? List course name and the number of their registered students?,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","SELECT Courses.course_name, COUNT(Student_Course_Registrations.student_id) AS number_of_students FROM Courses LEFT JOIN Student_Course_Registrations ON Courses.course_id = Student_Course_Registrations.course_id GROUP BY Courses.course_name;","[['statistics', 4], ['French', 2], ['data structure', 1], ['English', 2]]","[['Art history', 0], ['statistics', 4], ['French', 2], ['data structure', 1], ['English', 2], ['database', 0]]",FALSE
6,"For each course id, how many students are registered and what are the course names?","SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","SELECT      Courses.course_id,      Courses.course_name,      COUNT(Student_Course_Registrations.student_id) AS student_count FROM      Courses  LEFT JOIN      Student_Course_Registrations  ON      Courses.course_id = Student_Course_Registrations.course_id GROUP BY      Courses.course_id,      Courses.course_name;","[['statistics', 4], ['French', 2], ['data structure', 1], ['English', 2]]","[['301', 'statistics', 4], ['303', 'French', 2], ['302', 'English', 2], ['305', 'data structure', 1], ['304', 'database', 0], ['306', 'Art history', 0]]",FALSE
7,"Find the names of the users whose number of followers is greater than that of the user named ""Tyler Swift"".",SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 GROUP BY T1.name  HAVING count(*)  >  (SELECT count(*) FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 WHERE T1.name  =  'Tyler Swift'),SELECT name  FROM user_profiles  WHERE followers > (     SELECT followers      FROM user_profiles      WHERE name = 'Tyler Swift' );,[['Iron Man']],[['None']],FALSE
8,Show names for all employees who do not have certificate of Boeing 737-800.,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',SELECT name  FROM employee  WHERE eid NOT IN (     SELECT eid      FROM certificate      WHERE aid IN (         SELECT aid          FROM aircraft          WHERE name = 'Boeing 737-800'     ) );,"[['Joseph Thompson'], ['Karen Scott'], ['Angela Martinez'], ['Jennifer Thomas'], ['Patricia Jones'], ['Eric Cooper'], ['Linda Davis'], ['Chad Stewart'], ['Robert Brown'], ['William Moore'], ['Haywood Kelly'], ['Richard Jackson'], ['Donald King'], ['William Jones'], ['William Ward'], ['Michael Miller'], ['Lawrence Sperry'], ['David Anderson'], ['Elizabeth Taylor'], ['Barbara Wilson'], ['Milo Brooks'], ['Dorthy Lewis']]","[['Karen Scott'], ['Lawrence Sperry'], ['Michael Miller'], ['Patricia Jones'], ['Robert Brown'], ['Angela Martinez'], ['Joseph Thompson'], ['Linda Davis'], ['Richard Jackson'], ['William Ward'], ['Chad Stewart'], ['Michael Miller'], ['Dorthy Lewis'], ['Barbara Wilson'], ['William Moore'], ['Haywood Kelly'], ['Elizabeth Taylor'], ['David Anderson'], ['Jennifer Thomas'], ['Donald King'], ['Eric Cooper'], ['William Jones'], ['Milo Brooks']]",FALSE
9,What are the names of all employees who are not certified to fly Boeing 737-800s?,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',SELECT name  FROM employee  WHERE eid NOT IN (     SELECT eid      FROM certificate      WHERE aid IN (         SELECT aid          FROM aircraft          WHERE name = 'Boeing 737-800'     ) );,"[['Joseph Thompson'], ['Karen Scott'], ['Angela Martinez'], ['Jennifer Thomas'], ['Patricia Jones'], ['Eric Cooper'], ['Linda Davis'], ['Chad Stewart'], ['Robert Brown'], ['William Moore'], ['Haywood Kelly'], ['Richard Jackson'], ['Donald King'], ['William Jones'], ['William Ward'], ['Michael Miller'], ['Lawrence Sperry'], ['David Anderson'], ['Elizabeth Taylor'], ['Barbara Wilson'], ['Milo Brooks'], ['Dorthy Lewis']]","[['Karen Scott'], ['Lawrence Sperry'], ['Michael Miller'], ['Patricia Jones'], ['Robert Brown'], ['Angela Martinez'], ['Joseph Thompson'], ['Linda Davis'], ['Richard Jackson'], ['William Ward'], ['Chad Stewart'], ['Michael Miller'], ['Dorthy Lewis'], ['Barbara Wilson'], ['William Moore'], ['Haywood Kelly'], ['Elizabeth Taylor'], ['David Anderson'], ['Jennifer Thomas'], ['Donald King'], ['Eric Cooper'], ['William Jones'], ['Milo Brooks']]",FALSE
