,Unnamed: 0,db_id,query,question,query_toks,query_toks_no_value,question_toks,HAVING,ORDER BY,GROUP BY,JOIN,SELECT
0,11,department_management,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,How many departments are led by heads who are not mentioned?,"['SELECT' 'count' '(' '*' ')' 'FROM' 'department' 'WHERE' 'department_id'
 'NOT' 'IN' '(' 'SELECT' 'department_id' 'FROM' 'management' ')' ';']","['select' 'count' '(' '*' ')' 'from' 'department' 'where' 'department_id'
 'not' 'in' '(' 'select' 'department_id' 'from' 'management' ')']","['How' 'many' 'departments' 'are' 'led' 'by' 'heads' 'who' 'are' 'not'
 'mentioned' '?']",0,0,0,0,2
1,13,department_management,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,"['SELECT' 'T3.born_state' 'FROM' 'department' 'AS' 'T1' 'JOIN'
 'management' 'AS' 'T2' 'ON' 'T1.department_id' '=' 'T2.department_id'
 'JOIN' 'head' 'AS' 'T3' 'ON' 'T2.head_id' '=' 'T3.head_id' 'WHERE'
 'T1.name' '=' ""'Treasury"" ""'"" 'INTERSECT' 'SELECT' 'T3.born_state' 'FROM'
 'department' 'AS' 'T1' 'JOIN' 'management' 'AS' 'T2' 'ON'
 'T1.department_id' '=' 'T2.department_id' 'JOIN' 'head' 'AS' 'T3' 'ON'
 'T2.head_id' '=' 'T3.head_id' 'WHERE' 'T1.name' '=' ""'Homeland""
 'Security' ""'""]","['select' 't3' '.' 'born_state' 'from' 'department' 'as' 't1' 'join'
 'management' 'as' 't2' 'on' 't1' '.' 'department_id' '=' 't2' '.'
 'department_id' 'join' 'head' 'as' 't3' 'on' 't2' '.' 'head_id' '=' 't3'
 '.' 'head_id' 'where' 't1' '.' 'name' '=' 'value' 'intersect' 'select'
 't3' '.' 'born_state' 'from' 'department' 'as' 't1' 'join' 'management'
 'as' 't2' 'on' 't1' '.' 'department_id' '=' 't2' '.' 'department_id'
 'join' 'head' 'as' 't3' 'on' 't2' '.' 'head_id' '=' 't3' '.' 'head_id'
 'where' 't1' '.' 'name' '=' 'value']","['List' 'the' 'states' 'where' 'both' 'the' 'secretary' 'of' ""'Treasury""
 ""'"" 'department' 'and' 'the' 'secretary' 'of' ""'Homeland"" 'Security' ""'""
 'were' 'born' '.']",0,0,0,4,2
2,14,department_management,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","Which department has more than 1 head at a time? List the id, name and the number of heads.","['SELECT' 'T1.department_id' ',' 'T1.name' ',' 'count' '(' '*' ')' 'FROM'
 'management' 'AS' 'T2' 'JOIN' 'department' 'AS' 'T1' 'ON'
 'T1.department_id' '=' 'T2.department_id' 'GROUP' 'BY' 'T1.department_id'
 'HAVING' 'count' '(' '*' ')' '>' '1']","['select' 't1' '.' 'department_id' ',' 't1' '.' 'name' ',' 'count' '(' '*'
 ')' 'from' 'management' 'as' 't2' 'join' 'department' 'as' 't1' 'on' 't1'
 '.' 'department_id' '=' 't2' '.' 'department_id' 'group' 'by' 't1' '.'
 'department_id' 'having' 'count' '(' '*' ')' '>' 'value']","['Which' 'department' 'has' 'more' 'than' '1' 'head' 'at' 'a' 'time' '?'
 'List' 'the' 'id' ',' 'name' 'and' 'the' 'number' 'of' 'heads' '.']",1,0,1,1,1
3,36,farm,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,Show the official names of the cities that have hosted more than one competition.,"['SELECT' 'T1.Official_Name' 'FROM' 'city' 'AS' 'T1' 'JOIN'
 'farm_competition' 'AS' 'T2' 'ON' 'T1.City_ID' '=' 'T2.Host_city_ID'
 'GROUP' 'BY' 'T2.Host_city_ID' 'HAVING' 'COUNT' '(' '*' ')' '>' '1']","['select' 't1' '.' 'official_name' 'from' 'city' 'as' 't1' 'join'
 'farm_competition' 'as' 't2' 'on' 't1' '.' 'city_id' '=' 't2' '.'
 'host_city_id' 'group' 'by' 't2' '.' 'host_city_id' 'having' 'count' '('
 '*' ')' '>' 'value']","['Show' 'the' 'official' 'names' 'of' 'the' 'cities' 'that' 'have'
 'hosted' 'more' 'than' 'one' 'competition' '.']",1,0,1,1,1
4,37,farm,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,What are the official names of cities that have hosted more than one competition?,"['SELECT' 'T1.Official_Name' 'FROM' 'city' 'AS' 'T1' 'JOIN'
 'farm_competition' 'AS' 'T2' 'ON' 'T1.City_ID' '=' 'T2.Host_city_ID'
 'GROUP' 'BY' 'T2.Host_city_ID' 'HAVING' 'COUNT' '(' '*' ')' '>' '1']","['select' 't1' '.' 'official_name' 'from' 'city' 'as' 't1' 'join'
 'farm_competition' 'as' 't2' 'on' 't1' '.' 'city_id' '=' 't2' '.'
 'host_city_id' 'group' 'by' 't2' '.' 'host_city_id' 'having' 'count' '('
 '*' ')' '>' 'value']","['What' 'are' 'the' 'official' 'names' 'of' 'cities' 'that' 'have'
 'hosted' 'more' 'than' 'one' 'competition' '?']",1,0,1,1,1
5,48,farm,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),List the official names of cities that have not held any competition.,"['SELECT' 'Official_Name' 'FROM' 'city' 'WHERE' 'City_ID' 'NOT' 'IN' '('
 'SELECT' 'Host_city_ID' 'FROM' 'farm_competition' ')']","['select' 'official_name' 'from' 'city' 'where' 'city_id' 'not' 'in' '('
 'select' 'host_city_id' 'from' 'farm_competition' ')']","['List' 'the' 'official' 'names' 'of' 'cities' 'that' 'have' 'not' 'held'
 'any' 'competition' '.']",0,0,0,0,2
6,49,farm,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),What are the official names of cities that have not hosted a farm competition?,"['SELECT' 'Official_Name' 'FROM' 'city' 'WHERE' 'City_ID' 'NOT' 'IN' '('
 'SELECT' 'Host_city_ID' 'FROM' 'farm_competition' ')']","['select' 'official_name' 'from' 'city' 'where' 'city_id' 'not' 'in' '('
 'select' 'host_city_id' 'from' 'farm_competition' ')']","['What' 'are' 'the' 'official' 'names' 'of' 'cities' 'that' 'have' 'not'
 'hosted' 'a' 'farm' 'competition' '?']",0,0,0,0,2
7,81,student_assessment,"SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id",How many registed students do each course have? List course name and the number of their registered students?,"['SELECT' 'T3.course_name' ',' 'count' '(' '*' ')' 'FROM' 'students' 'AS'
 'T1' 'JOIN' 'student_course_registrations' 'AS' 'T2' 'ON' 'T1.student_id'
 '=' 'T2.student_id' 'JOIN' 'courses' 'AS' 'T3' 'ON' 'T2.course_id' '='
 'T3.course_id' 'GROUP' 'BY' 'T2.course_id']","['select' 't3' '.' 'course_name' ',' 'count' '(' '*' ')' 'from' 'students'
 'as' 't1' 'join' 'student_course_registrations' 'as' 't2' 'on' 't1' '.'
 'student_id' '=' 't2' '.' 'student_id' 'join' 'courses' 'as' 't3' 'on'
 't2' '.' 'course_id' '=' 't3' '.' 'course_id' 'group' 'by' 't2' '.'
 'course_id']","['How' 'many' 'registed' 'students' 'do' 'each' 'course' 'have' '?' 'List'
 'course' 'name' 'and' 'the' 'number' 'of' 'their' 'registered' 'students'
 '?']",0,0,1,2,1
8,82,student_assessment,"SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","For each course id, how many students are registered and what are the course names?","['SELECT' 'T3.course_name' ',' 'count' '(' '*' ')' 'FROM' 'students' 'AS'
 'T1' 'JOIN' 'student_course_registrations' 'AS' 'T2' 'ON' 'T1.student_id'
 '=' 'T2.student_id' 'JOIN' 'courses' 'AS' 'T3' 'ON' 'T2.course_id' '='
 'T3.course_id' 'GROUP' 'BY' 'T2.course_id']","['select' 't3' '.' 'course_name' ',' 'count' '(' '*' ')' 'from' 'students'
 'as' 't1' 'join' 'student_course_registrations' 'as' 't2' 'on' 't1' '.'
 'student_id' '=' 't2' '.' 'student_id' 'join' 'courses' 'as' 't3' 'on'
 't2' '.' 'course_id' '=' 't3' '.' 'course_id' 'group' 'by' 't2' '.'
 'course_id']","['For' 'each' 'course' 'id' ',' 'how' 'many' 'students' 'are' 'registered'
 'and' 'what' 'are' 'the' 'course' 'names' '?']",0,0,1,2,1
9,143,bike_1,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""",What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?,"['SELECT' 'T1.name' ',' 'T1.id' 'FROM' 'station' 'AS' 'T1' 'JOIN' 'status'
 'AS' 'T2' 'ON' 'T1.id' '=' 'T2.station_id' 'GROUP' 'BY' 'T2.station_id'
 'HAVING' 'avg' '(' 'T2.bikes_available' ')' '>' '14' 'UNION' 'SELECT'
 'name' ',' 'id' 'FROM' 'station' 'WHERE' 'installation_date' 'LIKE' '``'
 '12/' '%' ""''""]","['select' 't1' '.' 'name' ',' 't1' '.' 'id' 'from' 'station' 'as' 't1'
 'join' 'status' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'station_id'
 'group' 'by' 't2' '.' 'station_id' 'having' 'avg' '(' 't2' '.'
 'bikes_available' ')' '>' 'value' 'union' 'select' 'name' ',' 'id' 'from'
 'station' 'where' 'installation_date' 'like' 'value']","['What' 'are' 'the' 'names' 'and' 'ids' 'of' 'stations' 'that' 'had'
 'more' 'than' '14' 'bikes' 'available' 'on' 'average' 'or' 'were'
 'installed' 'in' 'December' '?']",1,0,1,1,2
